#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes
28,EHT-XA5S,7/15/2021,yellow p74,0,12,,,O,fibrous,,dry,M/VF-C,,,augured completely new well hole; previous well depth was 114.5 cm; this was deepest of 4 trial holes
,EHT-XA5S,7/15/2021,yellow p74,12,32,,,,,silty clay,dry,"M/VF-F, F/M","7.5 YR, 3/1",,
,EHT-XA5S,7/15/2021,yellow p74,32,42,,,,,silty clay,dry,"M/VF-F, F/M","7.5 YR, 4/1",,
,EHT-XA5S,7/15/2021,yellow p74,42,63,,,,,silty clay,dry,"C/VF-F, F/M","7.5 YR, 4/1",,
,EHT-XA5S,7/15/2021,yellow p74,63,74,,,,,sandy clay,dry,F/VF-M,"7.5 YR, 4/1",,
,EHT-XA5S,7/15/2021,yellow p74,74,85,,,,,sandy clay,moist,VF/VF,"10 YR, 4/1; orange mottled",,
,EHT-XA5S,7/15/2021,yellow p74,85,103,,,,,sandy clay,moist,"VF/M, C/VF-F","10 YR, 3/1; orange mottled",,
,EHT-XA5S,7/15/2021,yellow p74,103,130,,,,fibrous,clay,moist,F/VF,"10 YR, 5/2; orange mottled",,coarse gravel <15%
,EHT-XA5S,7/15/2021,yellow p74,130,131,,,,,GR,,,,,unable to auger past rock and gravel
,,,,,,,,,,,,,,,
29,EWT-1,7/15/2021,yellow p77,109,120,,,,,sandy clay,moist,F/VF-F,"10 YR, 5/4; orange mottled",,"coarse sand, mottled"
,EWT-1,7/15/2021,yellow p77,120,148,,,,,sandy clay,moist,F/VF,"10 YR, 5/4; orange mottled",,"finer sand, mottled"
,EWT-1,7/15/2021,yellow p77,148,151,,,,,sandy clay,saturated,F/VF,"10 YR, 5/3",,
,EWT-1,7/15/2021,yellow p77,151,152,,,,,GR,,,,,"hit rock, could not auger beyond it"
,,,,,,,,,,,,,,,
32,A2S,7/16/2021,yellow p77,0,17,,,O,,,dry,M/VF-C,,,"could not deepen existing well, tried to auger new well"
,A2S,7/16/2021,yellow p77,17,25,,,A,,"clay, VFGR",dry,M/VF-C,"7.5 YR, 2.5/1",,coarse sand to fine gravel; also slightly mucky
,A2S,7/16/2021,yellow p77,25,45,,,,,"clay, XGR",dry,M/VF-C,,,"hit rocks, could not auger deeper; unclear if abandoned this hole, the previous one was likely deeper"
,,,,,,,,,,,,,,,
33,E6S,7/16/2021,yellow p78,0,13,,,O,humus,,dry,M/VF-M,"5 YR, 3/2",,deepened original
,E6S,7/16/2021,yellow p78,13,32,,,,HO,"clay loam, FGR",dry-moist,"M/VF-F, C/M","5 YR, 2.5/1",,
,E6S,7/16/2021,yellow p78,32,38,,,,,clay loam,dry,"C/VF, F/F","7.5 YR, 3/2",,fine gravel < 35%
,E6S,7/16/2021,yellow p78,38,46,,,,,silty clay,dry,F/VF,"7.5 YR, 3/3",,fine gravel < 35%
,E6S,7/16/2021,yellow p78,46,60,,,,,"silty clay, FGR",dry,F/VF-F,"7.5 YR, 4/2",,gravel sub-rounded
,E6S,7/16/2021,yellow p78,60,68,,,,,"sandy clay, VFGR",dry-moist,F/VF-F,"7.5 YR, 5/3",,
,E6S,7/16/2021,yellow p78,68,80,,,,,"sandy clay, VFGR",moist,F/VF-F,"7.5 YR, 5/3",,
,E6S,7/16/2021,yellow p78,80,91,,,,,sandy clay,moist,F/VF-F,"7.5 YR, 5/4; orange mottled",,
,E6S,7/16/2021,yellow p78,91,116,,,C,,"clay, FGR",moist,F/VF-F,"7.5 YR, 5/4; orange mottled, purple fragments",,
,E6S,7/16/2021,yellow p78,116,128,,,C,,"clay, VFGR",moist,F/VF-F,"7.5 YR 4/3; red-orange, purple, gray fragments",,
,E6S,7/16/2021,yellow p78,128,131,,,C,,"clay, VFGR",moist,F/VF-F,"10 YR 4/2; red, red-orange, purple, gray fragments",,
,E6S,7/16/2021,yellow p78,131,147,,,C,fibrous,"clay, VFGR",moist,VF/VF,"10 YR 4/2; red, red-orange, purple, gray fragments",,"a few gravels, 30-40 mm"
,E6S,7/16/2021,yellow p78,147,154,,,C,fibrous,"sandy clay, XGR",moist,VF/VF,10 YR 4/2; strong orange mottle direct from fragments,,
,E6S,7/16/2021,yellow p78,154,161,,,,,"sandy clay, VGR",wet,,"7.5 YR, 4/3",,gravel subangular to 40 mm
,E6S,7/16/2021,yellow p78,161,173,,,,,"sandy clay, VGR",wet,VF/VF,"7.5 YR, 4/4",,gravel subangular to 40 mm
,E6S,7/16/2021,yellow p78,173,182,,,,,"clay, XFGR",saturated,,10 YR 3/6,,iron-stained water
,E6S,7/16/2021,yellow p78,182,183,,,,,GR,saturated,,,,"hit rock(s), could not auger beyond them."
,,,,,,,,,,,,,,,
35,KWF-2,6/11/2025,2015-25 Or V3 p60,0,7,,,O,,,moist,"M/VF, C/F","2.5 YR, 2.5/1",,"augered at Kiln3 camera, but abandoned due to cobbles at 66 cm, which didn't seem deep enough to support a viable well"
